City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Honningsvag,NO,2022-05-01 01:21:50,70.9821,25.9704,28.15,86,75,4.61
232,Pergamino,AR,2022-05-01 01:21:51,-33.89,-60.5736,47.17,67,35,3.13
233,Camana,PE,2022-05-01 01:21:51,-16.6228,-72.7111,66.42,81,65,6.78
234,Quartucciu,IT,2022-05-01 01:21:52,39.2519,9.1794,57.99,76,0,6.91
235,Clyde River,CA,2022-05-01 01:21:52,70.4692,-68.5914,12.43,92,100,5.75
236,Igrim,RU,2022-05-01 01:21:53,63.1906,64.4162,31.26,84,100,8.16
237,Adre,TD,2022-05-01 01:21:53,13.4667,22.2,80.92,18,100,5.1
238,Aswan,EG,2022-05-01 01:21:54,24.0934,32.907,82.45,16,3,11.27
239,San Vicente,AR,2022-05-01 01:21:55,-26.6167,-54.1333,63.27,100,100,0.58
240,Nanortalik,GL,2022-05-01 01:21:55,60.1432,-45.2371,35.35,92,100,8.32
241,Viedma,AR,2022-05-01 01:21:56,-40.8135,-62.9967,53.13,54,84,10.25
242,Akdepe,TM,2022-05-01 01:21:56,42.0551,59.3788,66.29,57,100,9.64
243,La Maddalena,IT,2022-05-01 01:17:10,41.2142,9.4083,59.05,76,100,12.86
244,Tornio,FI,2022-05-01 01:21:57,65.8481,24.1466,26.62,85,98,3.22
245,Albany,US,2022-05-01 01:21:57,42.6001,-73.9662,52.21,47,4,3.65
246,Port-Gentil,GA,2022-05-01 01:21:58,-0.7193,8.7815,80.64,83,17,8.19
247,Boden,SE,2022-05-01 01:21:58,65.8252,21.6886,35.6,98,100,2.17
248,San Lawrenz,MT,2022-05-01 01:21:59,36.0553,14.204,60.21,87,87,1.01
249,Monaragala,LK,2022-05-01 01:22:00,6.8714,81.3487,76.48,87,100,2.42
250,Conde,BR,2022-05-01 01:22:00,-7.2597,-34.9075,76.46,88,75,5.75
251,Zverinogolovskoye,RU,2022-05-01 01:22:01,54.4586,64.8542,40.71,61,100,10.27
252,Gravdal,NO,2022-05-01 01:22:02,68.1214,13.5031,36.9,76,100,13.44
